Project,URL,Language,Created since (months),Updated since (months),Contributors,Orgs for Top15 contributors,Commit freq/week (last yr),Releases (last yr),Closed issues (last 90d),Updated issues (last 90d),Comment freq/issue (last 90d),Commit mentions,Criticality Score
unicorn,https://github.com/unicorn-engine/unicorn,C,64,0,171,5,2.7,6,31,47,1.1,335,0.57598
audacity,https://github.com/audacity/audacity,C,69,1,159,3,30.4,3,33,55,1.8,279,0.57575
nginx,https://github.com/nginx/nginx,C,66,0,71,7,2.7,98,2,3,0.0,5130,0.57476
seL4,https://github.com/seL4/seL4,C,77,6,103,5,5.2,2,29,60,3.9,1209,0.57262
hashcat,https://github.com/hashcat/hashcat,C,60,1,79,2,8.5,3,68,123,2.1,2486,0.57261
RediSearch,https://github.com/RediSearch/RediSearch,C,55,0,49,8,5.9,22,209,274,1.3,22,0.57076
pygame,https://github.com/pygame/pygame,C,44,0,169,0,17.5,10,416,552,1.9,529,0.57068
motion,https://github.com/Motion-Project/motion,C,78,0,78,5,1.0,3,98,111,1.7,469,0.56914
firejail,https://github.com/netblue30/firejail,C,64,0,257,0,16.0,4,174,260,3.2,274,0.56848
skynet,https://github.com/cloudwu/skynet,C,101,0,105,4,1.8,1,28,39,2.2,675,0.56608
rubinius,https://github.com/rubinius/rubinius,C,156,6,597,6,2.7,14,1,2,0.5,932,0.56482
cJSON,https://github.com/DaveGamble/cJSON,C,57,0,74,7,1.0,2,31,44,1.4,988,0.56335
john,https://github.com/openwall/john,C,109,0,149,6,3.9,2,162,229,3.9,3,0.5609
unit,https://github.com/nginx/unit,C,39,0,20,3,7.8,15,32,56,2.7,966,0.55998
colmap,https://github.com/colmap/colmap,C,76,0,57,6,1.7,2,67,146,1.9,238,0.5577
brotli,https://github.com/google/brotli,C,74,1,74,5,0.6,2,31,57,2.8,1080,0.55758
webview,https://github.com/webview/webview,C,40,4,45,6,0.7,1,17,72,1.4,56602,0.55723
Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,C,34,0,57,2,17.4,16,91,96,3.0,92,0.55637
tig,https://github.com/jonas/tig,C,143,1,169,8,0.6,1,9,36,1.8,273,0.55587
